num_vertices num_edges iteration correct time
50 50 1 1 686943540
50 50 2 1 648987941
50 50 3 1 662157140
50 50 4 1 526837267
50 50 5 1 466747570
50 50 6 1 571911618
50 50 7 1 483127837
50 50 8 1 461867581
50 50 9 1 527906804
50 50 10 1 490798792
50 50 11 1 459300203
50 50 12 1 516822523
50 50 13 1 520915641
50 50 14 1 485482293
50 50 15 1 489756744
50 50 16 1 493869144
50 50 17 1 484713884
50 50 18 1 503621734
50 50 19 1 514544374
50 50 20 1 529306185
50 50 21 1 486264650
50 50 22 1 475027344
50 50 23 1 534744530
50 50 24 1 495558985
50 50 25 1 500810254
50 50 26 1 502205533
50 50 27 1 473136476
50 50 28 1 468091976
50 50 29 1 478750001
50 50 30 1 463743679
50 50 31 1 516424165
50 50 32 1 538951699
50 50 33 1 502020918
50 50 34 1 508754850
50 50 35 1 492722480
50 50 36 1 507819058
50 50 37 1 532337152
50 50 38 1 505527371
50 50 39 1 491792020
50 50 40 1 578822781
50 50 41 1 510954640
50 50 42 1 534255916
50 50 43 1 471563558
50 50 44 1 513765710
50 50 45 1 478507540
50 50 46 1 465816290
50 50 47 1 485726805
50 50 48 1 508086954
50 50 49 1 484584654
50 50 50 1 467008491
50 100 1 1 1094908075
50 100 2 0 975467548
50 100 3 0 909307711
50 100 4 0 899669580
50 100 5 0 970970738
50 100 6 1 952043196
50 100 7 1 973715347
50 100 8 1 934004676
50 100 9 0 1003567171
50 100 10 1 1047567063
50 100 11 0 973540168
50 100 12 0 916682462
50 100 13 0 947185771
50 100 14 0 942853884
50 100 15 1 1050465517
50 100 16 1 874127900
50 100 17 0 877667173
50 100 18 0 952906372
50 100 19 0 959788407
50 100 20 1 913633033
50 100 21 1 967413824
50 100 22 1 1008315877
50 100 23 1 992926787
50 100 24 1 871676624
50 100 25 1 994755706
50 100 26 0 1084405537
50 100 27 1 1201607299
50 100 28 1 1129656707
50 100 29 1 1090419470
50 100 30 0 904752645
50 100 31 0 987497056
50 100 32 1 895363540
50 100 33 0 990230178
50 100 34 0 872429853
50 100 35 1 982637581
50 100 36 1 941711323
50 100 37 1 1137219355
50 100 38 1 1007426034
50 100 39 1 1091271980
50 100 40 1 962279888
50 100 41 0 1008194442
50 100 42 1 970021818
50 100 43 1 998805336
50 100 44 0 982049275
50 100 45 1 1054430226
50 100 46 1 942064553
50 100 47 1 945007725
50 100 48 1 998363491
50 100 49 1 1037450575
50 100 50 0 990548946
50 150 1 0 1759382746
50 150 2 1 1446385363
50 150 3 0 1387706123
50 150 4 0 1550864696
50 150 5 0 1315997992
50 150 6 0 1348095144
50 150 7 1 1447863513
50 150 8 0 1396433486
50 150 9 1 1437825795
50 150 10 0 1668505842
50 150 11 0 1493907707
50 150 12 0 1572939308
50 150 13 1 1466067776
50 150 14 0 1594011666
50 150 15 0 1315624249
50 150 16 0 1306353297
50 150 17 0 1376536509
50 150 18 0 1444550291
50 150 19 0 1410236119
50 150 20 0 1436892463
50 150 21 0 1328078782
50 150 22 0 1362169365
50 150 23 0 1589785215
50 150 24 0 1512712995
50 150 25 0 1880140603
50 150 26 0 2027094908
50 150 27 0 1747802468
50 150 28 0 1564787123
50 150 29 0 1698986587
50 150 30 0 1399097684
50 150 31 0 1427244487
50 150 32 0 1427959973
50 150 33 1 1465504495
50 150 34 0 1520148053
50 150 35 0 1303935662
50 150 36 0 1660534990
50 150 37 0 1510414744
50 150 38 0 1427999357
50 150 39 0 1562671436
50 150 40 0 1533757866
50 150 41 0 1455669853
50 150 42 0 1483513477
50 150 43 0 1397299535
50 150 44 0 1681165093
50 150 45 0 1559146111
50 150 46 0 1685135545
50 150 47 0 1441411427
50 150 48 0 1371748829
50 150 49 0 1439031945
50 150 50 1 1673319368
50 200 1 0 2289918056
50 200 2 0 1955989442
50 200 3 0 2070619723
50 200 4 0 2207092824
50 200 5 0 1969402743
50 200 6 1 2196130800
50 200 7 1 1942873166
50 200 8 0 2188462306
50 200 9 0 2023760352
50 200 10 0 2077518169
50 200 11 0 2283874994
50 200 12 0 2158807404
50 200 13 1 2404844542
50 200 14 1 2186913181
50 200 15 0 1988472234
50 200 16 1 2144247030
50 200 17 1 2181228683
50 200 18 1 2499942155
50 200 19 0 1970999866
50 200 20 1 2021885074
50 200 21 0 1982084147
50 200 22 0 1966890338
50 200 23 0 1885857102
50 200 24 0 1964144909
50 200 25 0 2120866985
50 200 26 0 1886427356
50 200 27 0 2246182779
50 200 28 0 2222337504
50 200 29 0 2061321286
50 200 30 1 1789168929
50 200 31 0 2016801190
50 200 32 0 1667689433
50 200 33 0 2257970237
50 200 34 1 2217072287
50 200 35 1 2237463210
50 200 36 0 2252403482
50 200 37 0 2232767017
50 200 38 0 2501937636
50 200 39 0 2344705203
50 200 40 0 2976080880
50 200 41 1 3983738707
50 200 42 1 3493531914
50 200 43 0 3322987923
50 200 44 0 2083390975
50 200 45 0 2428588894
50 200 46 1 1969227153
50 200 47 0 2311320260
50 200 48 0 2420734965
50 200 49 1 2254695578
50 200 50 1 2605254305
50 250 1 0 2860107832
50 250 2 0 2849858421
50 250 3 0 2688731843
50 250 4 0 2675906029
50 250 5 0 2711260608
50 250 6 0 2542043384
50 250 7 0 2488583823
50 250 8 0 2866245252
50 250 9 1 2971243558
50 250 10 0 3926710745
50 250 11 0 2720991046
50 250 12 0 2947038900
50 250 13 0 3188154203
50 250 14 0 3591199365
50 250 15 0 2927684281
50 250 16 0 3713948191
50 250 17 0 3079228113
50 250 18 0 2317061784
50 250 19 0 3044794967
50 250 20 0 2818939523
50 250 21 0 2712989014
50 250 22 0 3226924570
50 250 23 0 2470050126
50 250 24 1 2388575454
50 250 25 0 3053561305
50 250 26 0 2954159703
50 250 27 1 3150115733
50 250 28 0 2904022390
50 250 29 0 3043914148
50 250 30 0 3047385319
50 250 31 1 2841593416
50 250 32 0 2645348156
50 250 33 0 3072974590
50 250 34 1 2636215050
50 250 35 0 3418202868
50 250 36 0 3776360756
50 250 37 0 3018377801
50 250 38 0 2770592565
50 250 39 0 3784736941
50 250 40 0 2835920814
50 250 41 0 3166500514
50 250 42 0 3175318954
50 250 43 1 3379180605
50 250 44 0 2780148644
50 250 45 0 2504911168
50 250 46 1 2467246440
50 250 47 0 3092027261
50 250 48 0 2564837995
50 250 49 0 2756434651
50 250 50 0 2756074447
50 300 1 0 2797062653
50 300 2 0 3366561149
50 300 3 0 3194095933
50 300 4 0 3443763421
50 300 5 0 2865991304
50 300 6 0 3484820961
50 300 7 0 2929902532
50 300 8 0 3178087767
50 300 9 0 3136157204
50 300 10 0 3072267309
50 300 11 0 3318228550
50 300 12 0 2739028335
50 300 13 0 2557143244
50 300 14 0 2987239827
50 300 15 0 2919468506
50 300 16 0 2858533682
50 300 17 0 2705950673
50 300 18 0 2926079362
50 300 19 0 2967379773
50 300 20 0 2872386776
50 300 21 0 2917276101
50 300 22 0 3196484440
50 300 23 0 2763996068
50 300 24 0 2579050062
50 300 25 0 3735001268
50 300 26 0 4765356885
50 300 27 0 3629583271
50 300 28 0 3186454926
50 300 29 0 3019874002
50 300 30 1 3447659206
50 300 31 0 3638320480
50 300 32 0 3253902965
50 300 33 0 3670931682
50 300 34 0 4738829772
50 300 35 0 3927137820
50 300 36 0 3159502787
50 300 37 0 3571821362
50 300 38 0 3132068188
50 300 39 1 3379204400
50 300 40 0 2928405509
50 300 41 0 3216408083
50 300 42 1 3373222055
50 300 43 0 3813295639
50 300 44 0 4820050905
50 300 45 1 3768005494
50 300 46 1 3187817794
50 300 47 0 3047046859
50 300 48 0 4178796278
50 300 49 0 3311595952
50 300 50 0 3756821111
50 350 1 0 4128274556
