num_vertices num_edges iteration correct time
20 80 1 0 1042560306
20 80 2 0 995835497
20 80 3 1 892030625
20 80 4 1 765520988
20 80 5 1 672741729
20 80 6 0 626520714
20 80 7 1 576465863
20 80 8 0 676722027
20 80 9 1 674683058
20 80 10 0 621324830
20 80 11 0 708535692
20 80 12 1 631097113
20 80 13 1 639767041
20 80 14 1 913801648
20 80 15 0 838690039
20 80 16 0 900291117
20 80 17 1 911441039
20 80 18 0 821610696
20 80 19 0 670368401
20 80 20 0 665704618
20 80 21 0 796732808
20 80 22 0 787481138
20 80 23 0 726156571
20 80 24 0 633763773
20 80 25 0 675236081
20 80 26 0 653085572
20 80 27 0 687612667
20 80 28 1 734323937
20 80 29 1 666244104
20 80 30 1 684397906
20 80 31 0 652747522
20 80 32 0 664006571
20 80 33 0 666485334
20 80 34 1 678298228
20 80 35 1 751573945
20 80 36 0 756831368
20 80 37 0 557855857
20 80 38 0 615408127
20 80 39 0 635786333
20 80 40 0 789443801
20 80 41 0 825669352
20 80 42 0 703972832
20 80 43 0 803920073
20 80 44 0 660327400
20 80 45 0 617193558
20 80 46 0 692411834
20 80 47 1 689279124
20 80 48 0 697404643
20 80 49 0 695585570
20 80 50 1 744389142
30 120 1 1 1742271814
30 120 2 0 1371128112
30 120 3 0 1412319395
30 120 4 0 1155273464
30 120 5 0 1189732866
30 120 6 1 1242463403
30 120 7 0 1345206946
30 120 8 0 1293795380
30 120 9 0 1147401074
30 120 10 0 1371220009
30 120 11 0 1094179461
30 120 12 1 1299956185
30 120 13 1 1171421117
30 120 14 1 1385990435
30 120 15 0 1138585915
30 120 16 1 1257744186
30 120 17 1 1126830047
30 120 18 0 1231757378
30 120 19 1 1136152691
30 120 20 0 1209766868
30 120 21 0 1136703253
30 120 22 0 1187700052
30 120 23 0 1190513993
30 120 24 0 1111950904
30 120 25 0 1138711044
30 120 26 0 1165689849
30 120 27 0 1055896067
30 120 28 0 1367563813
30 120 29 1 1133206647
30 120 30 0 1300473928
30 120 31 0 1297623062
30 120 32 0 1378852401
30 120 33 0 1250887998
30 120 34 0 1182836474
30 120 35 0 1381852598
30 120 36 0 1404742799
30 120 37 0 1391643344
30 120 38 0 1100560984
30 120 39 0 1305353095
30 120 40 1 1402273471
30 120 41 0 1370331396
30 120 42 0 1119617347
30 120 43 0 1384502439
30 120 44 0 1486728238
30 120 45 0 1274755837
30 120 46 0 1272831328
30 120 47 1 1111252239
30 120 48 0 1094094127
30 120 49 1 1585994865
30 120 50 0 1279570184
40 160 1 0 2164800825
40 160 2 0 1469755152
40 160 3 1 1690087737
40 160 4 0 1629551271
40 160 5 0 1540291593
40 160 6 1 1787356011
40 160 7 0 1697005464
40 160 8 0 1709286459
40 160 9 0 1588985217
40 160 10 0 1653663622
40 160 11 0 1705798879
40 160 12 0 1792383281
40 160 13 0 1696114800
40 160 14 0 1655534797
40 160 15 1 1562004771
40 160 16 1 1523429686
40 160 17 0 2016415960
40 160 18 0 1579925547
40 160 19 0 1546335066
40 160 20 0 1714890548
40 160 21 0 1811709592
40 160 22 0 1885937922
40 160 23 0 1788930161
40 160 24 1 1629963988
40 160 25 1 1614095309
40 160 26 0 2226379341
40 160 27 0 1502339277
40 160 28 0 1797022449
40 160 29 1 1679798532
40 160 30 0 1697473976
40 160 31 1 1621365856
40 160 32 0 1593101720
40 160 33 0 1690500454
40 160 34 0 2061437388
40 160 35 0 2326631811
40 160 36 0 2275667424
