iteration_number, input_size, hull_size, time[sec]
1, 40000, 1000, 9.794690619106403
1, 40000, 2000, 9.657602450382504
1, 40000, 3000, 9.012280630499237
1, 40000, 4000, 8.553497296612054
1, 40000, 5000, 8.743083581231076
1, 40000, 6000, 10.302556269812847
1, 40000, 7000, 9.08201897274131
1, 40000, 8000, 8.728132588470885
1, 40000, 9000, 9.116900246441332
1, 40000, 10000, 9.728847256017147
1, 40000, 11000, 9.331641433815093
1, 40000, 12000, 9.3658059886843
1, 40000, 13000, 9.466535958813495
1, 40000, 14000, 9.439174284111942
1, 40000, 15000, 9.588526673058482
1, 40000, 16000, 9.583570769522993
1, 40000, 17000, 10.56494592608729
1, 40000, 18000, 9.837512415399885
1, 40000, 19000, 9.949023527003334
1, 40000, 20000, 9.873450100656527
2, 40000, 1000, 8.71752949849784
2, 40000, 2000, 8.928402373418294
2, 40000, 3000, 8.811690434901038
2, 40000, 4000, 9.478664794254115
2, 40000, 5000, 8.858036748352902
2, 40000, 6000, 8.828291070717228
2, 40000, 7000, 8.882641496584398
2, 40000, 8000, 9.00582893025097
2, 40000, 9000, 9.088128518722272
2, 40000, 10000, 9.142324687989401
2, 40000, 11000, 9.301140883455446
2, 40000, 12000, 8.979426025960208
2, 40000, 13000, 10.071281318500098
2, 40000, 14000, 9.097391709610292
2, 40000, 15000, 9.18529827934151
2, 40000, 16000, 9.194058495251454
2, 40000, 17000, 9.190040849281047
2, 40000, 18000, 9.743951684863646
2, 40000, 19000, 9.514715300162436
2, 40000, 20000, 9.527541572358814
3, 40000, 1000, 8.120295122414518
3, 40000, 2000, 8.658905016088227
3, 40000, 3000, 9.141998123484882
3, 40000, 4000, 8.893613407524185
3, 40000, 5000, 9.374595743092186
3, 40000, 6000, 9.418147386437795
3, 40000, 7000, 9.139109914801963
3, 40000, 8000, 9.088217544472911
3, 40000, 9000, 9.125264154171248
3, 40000, 10000, 9.388276170186089
3, 40000, 11000, 8.977124074409119
3, 40000, 12000, 9.2900385108166
3, 40000, 13000, 9.754821852088412
3, 40000, 14000, 9.210716567035774
3, 40000, 15000, 9.424875189590011
3, 40000, 16000, 9.533876349386276
3, 40000, 17000, 9.555645812076932
3, 40000, 18000, 9.41390286839328
3, 40000, 19000, 10.408615067013443
3, 40000, 20000, 10.512547502622624
4, 40000, 1000, 8.962372466509692
4, 40000, 2000, 9.044876773181727
4, 40000, 3000, 9.016774584748191
4, 40000, 4000, 9.096743503684365
4, 40000, 5000, 9.112815318336857
4, 40000, 6000, 9.436764024735226
4, 40000, 7000, 9.397805207555052
4, 40000, 8000, 9.024328645327614
4, 40000, 9000, 9.261758681138872
4, 40000, 10000, 8.74477712177702
4, 40000, 11000, 8.96930416734881
4, 40000, 12000, 8.955348868121746
4, 40000, 13000, 9.079832303383341
4, 40000, 14000, 9.806043248463538
4, 40000, 15000, 9.490123680152237
4, 40000, 16000, 9.741143886536065
4, 40000, 17000, 9.728391460584362
4, 40000, 18000, 9.855228539768405
4, 40000, 19000, 9.920006465648953
4, 40000, 20000, 10.363791627230626
5, 40000, 1000, 8.986601419406952
5, 40000, 2000, 9.301875653590628
5, 40000, 3000, 8.668978054126796
5, 40000, 4000, 8.823124705384316
5, 40000, 5000, 8.83815282644457
5, 40000, 6000, 8.82767240328917
5, 40000, 7000, 8.915235998239154
5, 40000, 8000, 9.530378088670545
5, 40000, 9000, 9.287283225374154
5, 40000, 10000, 9.454341482266386
5, 40000, 11000, 9.439260438064139
5, 40000, 12000, 9.26549160881018
5, 40000, 13000, 9.100753765030277
5, 40000, 14000, 9.86490896193925
5, 40000, 15000, 10.316206748151899
5, 40000, 16000, 9.76989181935403
5, 40000, 17000, 9.982057413814232
5, 40000, 18000, 9.917743898761728
5, 40000, 19000, 10.124313588898758
5, 40000, 20000, 9.618444658598492
6, 40000, 1000, 9.362420548620094
6, 40000, 2000, 9.070370548148276
6, 40000, 3000, 9.126696771319189
6, 40000, 4000, 8.579891175250623
6, 40000, 5000, 8.761071295677425
6, 40000, 6000, 9.156627064566692
6, 40000, 7000, 9.302092269241825
6, 40000, 8000, 9.43963582314143
6, 40000, 9000, 9.736328701122488
6, 40000, 10000, 9.44426926474182
6, 40000, 11000, 9.604415513126696
6, 40000, 12000, 9.551581807075081
6, 40000, 13000, 10.396572795782049
6, 40000, 14000, 9.776430904325252
6, 40000, 15000, 10.3279819421316
6, 40000, 16000, 9.789936561973036
6, 40000, 17000, 9.449560348176647
6, 40000, 18000, 9.645005101544712
6, 40000, 19000, 10.046537082917439
6, 40000, 20000, 10.566179978888158
7, 40000, 1000, 8.711410516607884
7, 40000, 2000, 9.336481234643543
7, 40000, 3000, 8.549482932696947
7, 40000, 4000, 9.043788771842628
7, 40000, 5000, 8.970125501692792
7, 40000, 6000, 9.069807675660513
7, 40000, 7000, 9.015452736967518
7, 40000, 8000, 9.15024921056306
7, 40000, 9000, 9.736760291397331
7, 40000, 10000, 9.425412215892038
7, 40000, 11000, 9.245604404846517
7, 40000, 12000, 9.436865358193245
7, 40000, 13000, 9.436743511889517
7, 40000, 14000, 9.7766569558853
7, 40000, 15000, 9.19720721707563
7, 40000, 16000, 10.222074529732708
7, 40000, 17000, 9.52342300318719
7, 40000, 18000, 9.856385464269351
7, 40000, 19000, 9.957580665740352
7, 40000, 20000, 9.885566218132908
8, 40000, 1000, 8.667445744548786
8, 40000, 2000, 8.747478253306554
8, 40000, 3000, 9.595694681880559
8, 40000, 4000, 9.095591912523332
8, 40000, 5000, 9.214209904668678
8, 40000, 6000, 9.06370264250586
8, 40000, 7000, 9.379602518485171
8, 40000, 8000, 9.323792808770804
8, 40000, 9000, 9.57468624576768
8, 40000, 10000, 12.757431086069118
8, 40000, 11000, 12.120807533301559
8, 40000, 12000, 11.456338612929585
8, 40000, 13000, 9.846565554747485
8, 40000, 14000, 9.999569230239103
8, 40000, 15000, 11.469305192990987
8, 40000, 16000, 12.749365845373177
8, 40000, 17000, 11.090258162368855
8, 40000, 18000, 10.410846454375132
8, 40000, 19000, 10.052459551745187
8, 40000, 20000, 10.88217831652696
9, 40000, 1000, 11.406301218011777
9, 40000, 2000, 9.707093383089386
9, 40000, 3000, 10.618963223339279
9, 40000, 4000, 9.87973154428505
9, 40000, 5000, 9.773557464891383
9, 40000, 6000, 9.918278463522256
9, 40000, 7000, 10.126284052862275
9, 40000, 8000, 10.739438038282515
9, 40000, 9000, 10.816470338219915
9, 40000, 10000, 9.612422497340503
9, 40000, 11000, 9.473893096073652
9, 40000, 12000, 11.366366399630351
9, 40000, 13000, 13.604274384747896
9, 40000, 14000, 11.983167158769902
9, 40000, 15000, 10.276628853286866
9, 40000, 16000, 10.035920864723039
9, 40000, 17000, 10.079483174748702
9, 40000, 18000, 10.028419317028693
9, 40000, 19000, 10.17909519478394
9, 40000, 20000, 10.408486246341909
10, 40000, 1000, 9.620757276829409
10, 40000, 2000, 8.843620320353239
10, 40000, 3000, 8.895514538069165
10, 40000, 4000, 8.846572939371754
10, 40000, 5000, 9.25591990472185
