iteration_number, input_size, hull_size, time[sec]
1, 10000, 1000, 2.138947453063532
1, 20000, 1000, 4.267342688011513
1, 30000, 1000, 6.876774412440303
1, 40000, 1000, 9.839112007112215
1, 50000, 1000, 12.439764643812893
1, 60000, 1000, 14.548395341614778
1, 70000, 1000, 17.135968987859258
1, 80000, 1000, 19.133239958859434
1, 90000, 1000, 22.168977028484548
1, 100000, 1000, 24.91932420839902
1, 110000, 1000, 24.8982456183536
1, 120000, 1000, 27.435825356913256
1, 130000, 1000, 29.5388880478622
1, 140000, 1000, 32.568541827948906
1, 150000, 1000, 35.331342766780864
1, 160000, 1000, 37.650941519107505
1, 170000, 1000, 39.21781031935626
1, 180000, 1000, 40.29805041811335
1, 190000, 1000, 42.0236849522276
1, 200000, 1000, 51.69658301117909
2, 10000, 1000, 2.3543955131021903
2, 20000, 1000, 4.635631141289593
2, 30000, 1000, 7.171456621279958
2, 40000, 1000, 10.186694383623887
2, 50000, 1000, 12.429806887967402
2, 60000, 1000, 14.064537105071281
2, 70000, 1000, 16.19566998441428
2, 80000, 1000, 18.563385308781903
2, 90000, 1000, 20.50499385230023
2, 100000, 1000, 22.653804291861434
2, 110000, 1000, 24.466988882447822
2, 120000, 1000, 26.928714989187938
2, 130000, 1000, 28.686791819640803
2, 140000, 1000, 31.274056542428752
2, 150000, 1000, 32.98742111272304
2, 160000, 1000, 37.76134739858162
2, 170000, 1000, 39.29732385311672
2, 180000, 1000, 42.1542414206051
2, 190000, 1000, 44.52928147193643
2, 200000, 1000, 44.13793740053825
3, 10000, 1000, 2.1306483659263904
3, 20000, 1000, 4.4195877984670915
3, 30000, 1000, 6.418758258984326
3, 40000, 1000, 9.257349650071319
3, 50000, 1000, 10.873180561863137
3, 60000, 1000, 13.868474094532303
3, 70000, 1000, 16.248551690525346
3, 80000, 1000, 18.55683678790183
3, 90000, 1000, 21.212310004894334
3, 100000, 1000, 23.133925087907755
3, 110000, 1000, 25.833038153482903
3, 120000, 1000, 27.91242943068255
3, 130000, 1000, 28.827915275382566
3, 140000, 1000, 41.18220986528377
3, 150000, 1000, 42.580314560386796
3, 160000, 1000, 62.443941059209465
3, 170000, 1000, 52.1764473966532
3, 180000, 1000, 49.30066580594803
3, 190000, 1000, 44.16666071794134
3, 200000, 1000, 46.68694238392891
4, 10000, 1000, 2.156862141779129
4, 20000, 1000, 4.388718837397391
4, 30000, 1000, 6.614854500333422
4, 40000, 1000, 8.48217577293417
4, 50000, 1000, 10.660127991952322
