iteration_number, input_size, hull_size, time[sec]
1, 10000, 28, 0.8011328834456002
1, 20000, 28, 1.621336149336799
1, 30000, 29, 2.451104555205606
1, 40000, 29, 3.336911594147603
1, 50000, 30, 4.160999993025634
1, 60000, 33, 5.60903008290882
1, 70000, 32, 5.793525489467267
1, 80000, 34, 6.691590594778166
1, 90000, 33, 7.827807788071123
1, 100000, 35, 11.008381138520377
2, 10000, 24, 1.5021442077672305
2, 20000, 21, 2.2284318708905104
2, 30000, 26, 2.372930920530365
2, 40000, 28, 2.9860717777293715
2, 50000, 28, 3.842950370810712
2, 60000, 28, 4.057982840594256
2, 70000, 29, 5.29363195113676
2, 80000, 29, 5.436762383707546
2, 90000, 29, 10.382528060547358
2, 100000, 31, 16.052150218031045
3, 10000, 18, 1.2101930792119902
3, 20000, 19, 2.7124853897256145
3, 30000, 20, 2.9949398912080625
3, 40000, 20, 5.006475495149331
3, 50000, 23, 5.570728087049957
3, 60000, 25, 5.133955857176431
3, 70000, 26, 5.713353493358156
3, 80000, 27, 6.314369617685685
3, 90000, 27, 6.757963189288034
3, 100000, 29, 8.850476533919817
4, 10000, 20, 0.73716972779863
4, 20000, 17, 1.543818515468928
4, 30000, 20, 2.355145052486222
4, 40000, 21, 2.95634743345326
4, 50000, 22, 3.1534488042446753
4, 60000, 26, 3.817619057582448
4, 70000, 30, 4.416375897078012
4, 80000, 27, 5.010826679991823
4, 90000, 27, 5.637408784503123
4, 100000, 27, 6.173674470163434
5, 10000, 23, 0.5971564272694536
5, 20000, 23, 1.1975235251571519
5, 30000, 29, 1.8606209566617053
5, 40000, 29, 2.5024449260860706
5, 50000, 29, 3.044761490988492
5, 60000, 29, 3.6573177320833565
5, 70000, 31, 4.331174971702552
5, 80000, 30, 6.911555173196092
5, 90000, 35, 6.390636378219142
5, 100000, 35, 9.123336767183702
6, 10000, 23, 0.9030386498937446
6, 20000, 24, 1.6682514891300286
6, 30000, 32, 2.5994169428721534
6, 40000, 29, 3.064958438923213
6, 50000, 28, 3.8848917557642153
6, 60000, 25, 4.816321004702786
6, 70000, 25, 5.616439733054051
6, 80000, 25, 6.09092852216844
6, 90000, 24, 6.801048370521073
6, 100000, 26, 7.613762806682416
7, 10000, 25, 0.7228854025256055
7, 20000, 28, 1.8475247354150497
7, 30000, 32, 2.8231776285263095
7, 40000, 34, 3.33154092087085
7, 50000, 34, 4.334643693920441
7, 60000, 32, 4.77464669700106
7, 70000, 32, 5.349403506958197
7, 80000, 30, 6.139187453358886
7, 90000, 30, 7.111317470339429
7, 100000, 24, 7.500211487439799
8, 10000, 25, 0.8272445053265756
8, 20000, 31, 1.4953983533108044
8, 30000, 35, 2.420040722101419
8, 40000, 28, 3.2079579995380527
8, 50000, 29, 4.333410871890351
8, 60000, 29, 4.076352504228737
8, 70000, 28, 4.599315199157161
8, 80000, 31, 6.571164190150796
8, 90000, 30, 5.967602011407621
8, 100000, 32, 6.674036932147999
9, 10000, 22, 0.6791282204654863
9, 20000, 25, 1.372029586087649
9, 30000, 29, 2.097189042694197
9, 40000, 26, 2.6830986868906734
9, 50000, 24, 3.250112307830477
9, 60000, 26, 3.8843481653515823
9, 70000, 26, 4.80064590848724
9, 80000, 31, 5.312939051822468
9, 90000, 29, 6.136759142677931
9, 100000, 33, 6.731705515945237
10, 10000, 20, 0.6462707441281168
10, 20000, 24, 1.3301768166278976
10, 30000, 20, 1.9139605094898684
10, 40000, 19, 2.6128725491764726
10, 50000, 20, 3.191514902377321
10, 60000, 20, 4.746035379735872
10, 70000, 21, 4.880601288945172
10, 80000, 20, 5.393670638363858
10, 90000, 21, 5.855151001211482
10, 100000, 22, 6.819480393206675
