input_size & median & mean & sd & min & max
10000 & 0.769151305622115 & 0.862636384783243 & 0.283367583039739 & 0.597156427269454 & 1.50214420776723
20000 & 1.58257733240286 & 1.70169764311504 & 0.459028984879094 & 1.19752352515715 & 2.71248538972561
30000 & 2.39648582131589 & 2.38885262217759 & 0.364565781031867 & 1.86062095666171 & 2.99493989120806
40000 & 3.02551510832629 & 3.16886798219649 & 0.708019898521108 & 2.50244492608607 & 5.00647549514933
50000 & 3.86392106328746 & 3.87674622779023 & 0.777986413972779 & 3.04476149098849 & 5.57072808704996
60000 & 4.4111939419823 & 4.45736093213653 & 0.648016696754892 & 3.65731773208336 & 5.60903008290882
70000 & 5.08711662004097 & 5.07944674393446 & 0.544286379196852 & 4.33117497170255 & 5.79352548946727
80000 & 6.11505798776366 & 5.98729943052238 & 0.657917909653193 & 5.01082667999182 & 6.91155517319609
90000 & 6.57429978375359 & 6.88682221967863 & 1.39279548316556 & 5.63740878450312 & 10.3825280605474
100000 & 7.55698714706111 & 8.65472162632405 & 2.98293070134371 & 6.17367447016343 & 16.052150218031
