input_size & median & mean & sd & min & max
10000 & 23 & 22.8 & 2.93636207273937 & 18 & 28
20000 & 24 & 24 & 4.29469957557504 & 17 & 31
30000 & 29 & 27.2 & 5.51361950083609 & 20 & 35
40000 & 28 & 26.3 & 4.80855718716355 & 19 & 34
50000 & 28 & 26.7 & 4.29599296502631 & 20 & 34
60000 & 27 & 27.3 & 3.77270901784558 & 20 & 33
70000 & 28.5 & 28 & 3.52766841475279 & 21 & 32
80000 & 29.5 & 28.4 & 3.89301368550838 & 20 & 34
90000 & 29 & 28.5 & 4.06201920231798 & 21 & 35
100000 & 30 & 29.4 & 4.55094617756694 & 22 & 35
