input_size & median & mean & sd & min & max
10000 & 0.769  & 0.862 & 0.283 & 0.597 & 1.502
20000 & 1.582  & 1.701 & 0.459 & 1.197 & 2.712
30000 & 2.396  & 2.388 & 0.364 & 1.860 & 2.994
40000 & 3.025  & 3.168 & 0.708 & 2.502 & 5.006
50000 & 3.863  & 3.876 & 0.777 & 3.044 & 5.570
60000 & 4.411  & 4.457 & 0.648 & 3.657 & 5.609
70000 & 5.087  & 5.079 & 0.544 & 4.331 & 5.793
80000 & 6.115  & 5.987 & 0.657 & 5.010 & 6.911
90000 & 6.574  & 6.886 & 1.392 & 5.637 & 10.38
100000 & 7.556 & 8.654 & 2.982 & 6.173 & 16.052
